2	2846.825928
3	1901.707031
4	1439.839355
5	1146.513672
6	940.420410
4	1426.294434
5	1118.710083
6	927.720825
7	792.866455
8	688.175110
9	608.668091
10	555.787109
11	495.772064
12	452.199341
13	415.180603
14	382.234680
15	354.518524
16	330.629089
17	308.836548
18	295.786987
19	272.398438
20	257.386780
21	243.864395
22	229.529221
23	223.532471
24	213.020844
25	205.173904
26	190.831833
27	188.897690
28	181.183365
29	171.117889
30	162.518066
31	157.832932
32	153.115250
33	147.641083
34	141.973328
35	134.049698
36	131.875046
37	127.579628
38	124.170738
39	121.311462
