2	2861.559082
3	1866.210449
4	1412.392456
5	1125.830444
6	926.894287
4	1416.016235
5	1108.614746
6	916.212219
7	793.356018
8	691.610779
9	608.112000
10	547.661438
11	503.834808
12	452.986145
13	411.504303
14	380.813538
15	356.025543
16	330.457550
17	313.942139
18	291.485260
19	279.990448
20	264.286194
21	246.720444
22	236.947632
23	222.525269
24	211.749374
25	202.141403
26	195.147659
27	184.820465
28	175.842056
29	169.021606
30	163.888443
31	154.131332
32	152.540665
33	144.573318
34	142.975555
35	136.306915
36	128.962738
37	125.703224
38	123.020889
39	118.828300
